종류,규칙,답변
질병,유선종양증상,"복부나 유두 주변에 멍울이 생긴다. 제4, 제5 유선의 발생률이 높고, 제1 유선에서는 거의 발생하지 않는다. 반 정도가 악성 유방암으로 전이될 가능성이 크기 때문에 주의가 필요하다."
질병,정유정소증상,이렇다 할 증상은 없지만 내버려두면 정소 종양이 되는 경우에 뱃속에 정소가 있기 때문에 종양이 커질 때까지 알아차리기 어렵다.
질병,정소종양증상,정소가 음낭 안에 있는 경우에는 정소가 부어오르기 때문에 알아차릴 수 있다. 정소가 정상 위치에 없는 정유정소인 개는 복부에 멍울이 생기거나 부어오르기도 한다. 종양이 여성호르몬을 분비시키기 때문에 암컷처럼 유선이 붓거나 배의 털이 빠지는 경우도 있다.
질병,전립선비대증상,"대부분의 개에게는 증상이 나타나지 않는다. 비대 자체에는 증상이 없고, 간혹 비대해지면서 주변에 있는 장이나 방광, 요도를 압박하기 때문에 증상이 나타나는 경우가 있다. 배변 횟수가 증가함에도 불구하고 변비가 일어나거나 변이 얇아지기도 한다. 혈뇨가 나오기도 하고 배뇨를 어려워하기도 한다. 전립선염을 동반하는 경우에는 통증도 생긴다."
질병,전립선염증상,"급성인 경우와 만성인 경우가 있다. 급성에서는 소변이 잘 나오지 않게 되고, 식욕부진 등의 증상이 나타나고 소변 색이 탁하거나 혈뇨를 보는 일이 있다. 염증이 심하면 통증이 심해지는 경우가 있고, 통증 때문에 걷는 모습이 이상해지거나 등을 둥글게 웅크리는 자세를 취하게 된다. 만성의 경우에는 증상이 가볍고 비대하지도 않지만 세균에 감염되어 있기 때문에 방광염의 원인이 되기도 한다."
질병,전립선농양증상,소변에 피나 고름이 섞이고 탁하다. 소변이 나오지 않게 되거나 새는 것 외에도 설사나 변비를 일으키거나 열이 나기도 한다. 요로감염증을 집요하게 반복하게 된다.
질병,전립선농포증상,장이나 방광을 압박하고 배변이나 배뇨가 곤란해지거나 하복부에 통증이 생기기도 한다. 고인 액체에는 피나 고름이 섞이는 경우도 많아서 혈뇨나 농뇨가 나오게 된다. 배가 커 보이기도 한다.
질병,승모판폐쇄부전이유|승모판폐쇄부전원인,노화와 더불어 승모판이 상처를 입어 약해지고 늘어나 판이 제대로 닫히지 않게 되는 것 등이 주요 원인으로 혈액이 역류하여 심장이 비대하다.
질병,심근증이유|심근증원인,확장형과 비대형 모두 전신에 혈액을 보내는 심기능이 저하되기 때문에 온몸에 다양한 이상이 발생한다.
질병,심장사상충증이유|심장사상충증원인,"모기가 감염된 개의 피를 빨아들일 때 혈액 속의 심장사상충 자충(미크로필라리아)도 함께 들이마신다. 심장사상충은 모기의 체내에서 성장하다가 모기가 다시 다른 개의 피를 흡입할 때 침을 통해 개의 몸으로 들어가고, 최종적으로 심장까지 도달한다. 대부분의 심장사상충이 혈액의 흐름을 방해하거나 심장 판의 움직임을 악화시키기 때문에 심장병의 증상이 나타난다."
질병,동맥관개존증이유|동맥관개존증원인,대동맥과 폐동맥을 연결하는 동맥관은 태아일 때에는 열려 있다가 생후 72시간 이내에 닫히는데 이 동맥관이 열려 있는 상태로 있으면 혈류에 이상이 생긴다.
질병,폐동맥협착증이유|폐동맥협착증원인,우심실의 출구가 좁아진 상태이기 때문에 혈액의 흐름이 나빠지고 우심실이 비대해져 순환부전이 일어난다.
질병,심실심방중격결손증이유|심실심방중격결손증원인|심실중격결손증원인|심방중격결손증원인,"여분의 혈액이 우심실, 좌심방으로 흘러들어가 심장에 부담을 주기 때문이다."
질병,부정맥이유|부정맥원인,심장병이나 감염증 등 원인은 다양한데 심장 장애가 일어나는 부위에 따라 부정맥의 타입도 분류할 수 있다.
질병,빈혈이유|빈혈원인,"피를 대량으로 흘렸거나 적혈구가 파괴되어 적혈구의 생산이 감소되었을 때 일어난다. 적혈구가 파괴되는 용혈성 빈혈은 파 종류나 살충제, 살서제 등에 의한 중독이 원인이 되기도 한다. 그 외에도 신부전이나 간질환 등의 질병, 기생충이나 바이러스 감염 등 원인이 다양하다."
질병,혈소판감소증이유|혈소판감소증원인,"원래 있던 다른 질병이 원인이 되어 혈소판의 감소가 일어난다. 요독증, 바이러스 감염증, 백혈병, 면역질환, 악성 종양 등으로 발병하는데 원인을 특정할 수 없다."
질병,바베시아증이유|바베시아증원인,참진드기의 흡혈 과정에서 바베시아 원충이 체내로 들어와 적혈구를 감염시키고 파괴하여 발병한다.
질병,비염이유|비염원인,"대부분 바이러스나 세균, 곰팡이의 일종인 진균에 감염되어 일어난다. 겨울에는 공기가 건조해서 다른 때보다 쉽게 감염된다. 들이마신 작은 물질, 또는 이빨의 염증이 악화되어 비강으로 번지는 종양 등이 원인이 된다. 알레르기도 원인 중 하나로 보고 있다."
질병,부비강염이유|부비강염원인,"비염이 만성화된 경우에 발생하는데, 종양이나 상처가 원인이 되는 경우나 상악의 잇몸이 화농화되어 부비강까지 번지는 경우도 있다."
질병,인두염이유|인두염원인,바이러스나 세균에 의해 발생하는 경우가 많지만 계속 짖다 보니 염증이 발생하는 경우도 종종 있다. 드문 예이기는 하지만 자극성 가스나 열기의 흡입이 원인인 경우도 있다.
질병,연구개과장증이유|연구개과장증원인,선척적으로 연구개가 길어서 목의 입구로 내려가 있기 때문이다.
질병,기관허탈이유|기관허탈원인,"기관이 본래의 강도나 탄력을 잃고 눌려 공기가 안을 통과하기 어려워지면서 발생한다. 원인은 선천적인 것으로 보이는데, 비만인 경우나 나이를 먹어도 발생하는 것 같다."
질병,기관지염이유|기관지염원인,"바이러스나 세균, 진균 등에 감염되어 발생한다. 드물지만 자극성 가스나 먼지, 화학약품 등의 흡입이 원인이 되는 경우도 있다."
질병,폐렴이유|폐렴원인,"바이러스나 세균, 진균 또는 기생충 등의 감염에 의해 발생하는 경우가 있다 또 알레르기가 원인이 되거나 드물게는 자극성 가스나 약품을 삼켜서 일어나기도 한다."
질병,폐수종이유|폐수종원인,"폐렴이나 심장질환 등이 원인이다. 세균 감염이나 극도의 스트레스, 급격한 운동 등으로 발병하기도 한다."
질병,기흉이유|기흉원인,교통사고나 다른 개와 싸우다 폐가 손상을 입어서 일어나는 경우가 대부분이지만 원인불명인 경우도 있다.
질병,횡격막헤르니아이유|횡격막헤르니아원인|헤르니아이유|헤르니아원인,교통사고나 낙하 등에 의해 복부를 크게 강타당한 충격으로 발생한다. 사고 후에야 증상이 나타나기도 한다. 유전적인 원인으로는 횡격막에 구멍이 뚫려 있는 경우와 흉강에 장기가 침입해 있는 경우가 있다.
질병,흉막염이유|흉막염원인,"주로 바이러스나 세균 등의 감염에 의해 일어나는데, 외상이나 종양 등에 의해서도 발생하는 등 원인이 다양하다."
질병,거대식도증이유|거대식도증원인,"유전적인 경우도 많지만 식도의 근육을 움직이는 신경이 다쳐서 발생하기도 한다. 또 식도협착, 중증 근무력증, 전신성 홍반성 낭창 등 다른 질병에 감염되어 일어나는 경우도 있다."
질병,식도내이물이유|식도내이물원인,"식도를 막는 이물 중에 많이 발견되는 것은 뼈나 살코기 덩어리이다. 대형견은 골프공이나 구운 닭꼬치를 꼬지째 통째로 삼킨 예도 있고, 그 밖에 장난감이나 사용하고 버린 라이터, 낚싯대 등 다양한 보고가 있다. 식도는 가슴의 입구, 심장 부근, 위와 이어지는 세 곳이 좁아서 쉽게 막힐 수 있다."
질병,급성위염이유|급성위염원인,"상한 음식이나 불결한 물, 독성이 있는 물질을 섭취했을 때 발생한다. 또 풀이나 나무, 쓰레기 등의 이물질, 급성 전염병이나 기생충 등에 의해서 증상이 나타나기도 한다. 스트레스가 원인인 경우도 있어 보인다."
질병,만성위염이유|만성위염원인,"원인을 정확히 특정할 수 없는 것이 많다. 음식물 알레르기나 유독물질, 병원체 등에 의해 위가 만성적으로 자극을 받아서 일어나는 것으로 보인다."
질병,위확장과위염전이유|위확장과위염전원인|위확장원인|위염전이유,"새끼가 과식했을 때나 성견이나 노견이 걸신들린 듯이 먹다가 위에 가스가 발생하고, 액체가 쌓여서 위가 빵빵해져 붓고 위확장이 된다. 이 상태에서 심한 운동 등을 하면 위가 꼬여서 위염전이 된다."
질병,출혈성위장염이유|출혈성위장염원인,파보바이러스 감염증과 같은 감염증 외에도 확실한 원인이 알려지지 않은 출혈성 위장염도 있으며 건강하게 보이는 개에게 갑자기 일어난다. 대부분 소형견들에게 발병한다.
질병,대장염이유|대장염원인,"바이러스나 세균, 기생충 감염, 식사, 약물, 스트레스 등 다양한 원인으로 인해 장에 염증이 발생한다."
질병,흡수불량증후군이유|흡수불량증후군원인,"소장의 점막에 이상이 있는 경우, 위장염이나 종양 등에 의해 점막에 상처가 난 경우, 장림프관의 확장증 등 다양한 원인이 있다."
질병,장폐색이유|장폐색원인,"돌이나 구슬 같은 장난감이나 이물질을 삼켜서 장이 막히는 케이스가 많다. 작은 돌멩이나 비닐, 실뭉치 등이 조금씩 쌓여서 막히는 경우도 있다. 또 종양이나 장염, 장염전, 장중적 등의 질병이 원인일 수도 있다."
질병,급성간염이유|급성간염원인,"동, 비소, 수은, 클로로포름 등의 중독 외에 진통제, 마취제, 이뇨제 등의 약물이 원인이 되기도 한다. 또 바이러스나 진균에 의해 감염성 간염, 기생충성 간염 등 다양한 원인이 알려져 있다."
질병,췌염이유|췌염원인,"고지방에 치우친 식사를 원인 중 하나로 보고 있다. 또 비만인 개도 쉽게 발병하는 경향이 있다. 그 외에 약물이나 감염, 외상, 바이러스나 기생충 등 많은 원인이 있다."
질병,췌외분비부전이유|췌외분비부전원인,췌염 등의 원인으로 소화효소 분비가 부족하기 때문에 췌장에서 효소를 받아들이는 소장은 영양을 흡수하지 못하게 된다. 최근에는 바이러스 등을 공격하는 면역이 자신의 조직을 공격하게 되는 자기면역질환으로 보고 있다.
질병,항문낭염이유|항문낭염원인,세균감염에 의해 항문낭이 염증을 일으킨다. 파열되어 분비물과 함께 고름이나 피가 나오는 경우도 있다.
질병,항문주위염항문주위루이유|항문주위염항문주위루원인,항문 주위의 항문선에 생긴 염증 때문에 개가 가려움이나 통증을 느끼고 그것을 핥거나 깨물면 항문주위염이 일어난다. 항문주위루는 항문선이 감염되면서 화농화되는 것으로 보인다.
질병,회음헤르니아이유|회음헤르니아원인,"나이가 들면서 근력이 약해지거나 호르몬의 불균형, 만성 변비, 전립선 비대 등이 원인으로 보인다."
질병,소화기종양이유|소화기종양원인,유전에 후천적인 요소가 더해져 발병한다.
질병,급성신부전이유|급성신부전원인,"급성 신부전은 원인이 어디에 있는지에 따라서 신전성, 신성, 신후성으로 나눌 수 있다. 신전성은 심장의 질병 등이 원인이 되어 신장으로 가는 혈액의 양이 줄어들어 발병한다. 신성은 신장 자체에 장애가 있는 타입으로 독성을 섭취하거나 외상, 감염증, 종양 등 다양한 원인이 있다. 신후성은 신장보다 뒤에 있는 기관인 방광이나 요도에 결석 등이 생겨 소변이 제대로 배설되지 못해서 발생한다."
질병,만성신부전이유|만성신부전원인,"원인은 혈액을 여과시키는 사구체의 염증, 선천적인 염증 등 다양하다. 급성 신부전이 이행하는 경우도 있다."
질병,요독증이유|요독증원인,신부전증이 진행되면서 체내에 독소가 축적되어 일어난다.
질병,사구체신염이유|사구체신염원인,"바이러스 감염이나 기생충, 용혈성 빈혈, 종양, 췌장염 등 다양한 원인에 의해 몸의 면역기구에 이상이 일어나 발병하는 것으로 보인다. 또 유전적으로 걸리기 쉬운 견종도 있는 것으로 보인다."
질병,네프로제증후군신장증이유|네프로제증후군신장증원인,사구체신염이나 신아미로이드시스라는 질병이 주요 원인이다. 단백질이 소변으로 새어 나와 혈중 단백질이 감소하고 혈관에서 수분이 체내로 새어 부종이 생기거나 복수가 차게 된다.
질병,신우신염이유|신우신염원인,"소변은 신우, 요관, 방광, 요도 순으로 흐르는데, 신우보다 아래쪽에 감염 세균이 올라와서 일어난다."
질병,방광염이유|방광염원인,"대장균, 포도구균 등의 세균이 요도로 침입해 방광에 감염되어 염증을 일으킨다. 대부분의 경우에 만성화되고 염증이 번져 요로를 거슬러 올라가 신우신염을 일으키기도 한다. 간혹 추위나 스트레스도 원인이 되는 경우가 있다."
질병,요로결석증이유|요로결석증원인,"결석은 핵이 되는 세균 등에 소변 속의 성분이 달라붙어 생긴다. 종류는 다양한데 견종에 따라 생성되기 쉬운 결석이 다르다. 대부분 방광에서 생성되고, 배뇨 시 요도로 이동해 부진결석이 된다. 또 신장에서 만들어진 것은 윤뇨관으로 이동하여 요관결석이 된다. 어느 쪽이든 완전히 요로를 막아버리면 다양한 증상이 일어난다."
질병,간질이유|간질원인,"뇌의 신경세포에 변화가 일어나고 긴장상태가 되면서 발생한다. 선천적으로 뇌에 이상이 있는 경우나 뇌의 염증, 종양, 외상 등이 원인이 되는 경우도 있다. 또 과도한 정신적 스트레스 등이 뇌에 영향을 미쳐서 발병하기도 한다."
질병,전정장애이유|전정장애원인,귀 속에 있는 내이의 종양이나 염증이 원인이다. 또 나이가 원인인 경우도 있는데 노견에게 많이 발병하는 경향이 있다.
질병,수두증이유|수두증원인,"유전적으로 발병하는 예로는 일반적으로 두부가 크고 두 개의 두정골의 발달이 미숙해서 선문이 완전히 닫혀 있지 않은 예가 많이 접수되고 있다. 뇌척수는 일정량이 뇌의 내부를 순환하고 있는데, 그 흐름이 막혔거나 이상이 많아져서 뇌압이 높아진다. 후천적으로는 바이러스 감염이 원인이 되는 것으로 알려져 있다."
질병,저혈당증이유|저혈당증원인,"새끼 때에는 이유 직후의 환경 변화나 스트레스, 몸의 냉기나 굶주림, 소화기의 이상에 의해 발생한다. 성견이나 노견 등은 혈당치를 컨트롤하는 인슐린 호르몬이 과잉으로 분비되어 발병한다. 공복 시나 운동으로 당분이 부족했을 때에도 일어나는 경우가 있다."
질병,안면신경마비이유|안면신경마비원인,"대부분 원인이 밝혀지지 않았지만 갑상선의 기능 저하나 중이염, 내이염, 안면신경 외상 등이 원인이 되는 경우가 있다."
질병,추간판헤르니아이유|추간판헤르니아원인,"닥스훈트나 코기처럼 동체가 긴 견종은 등의 부담이 크기 때문에 발생하기 쉬우며, 그 외에 비글, 시추, 페키니즈 등에게서도 흔히 볼 수 있다. 너무 마르거나 비만이거나 노화, 과격한 운동 등이 원인이 되기도 한다."
질병,뇌의외상이유|뇌의외상원인,"심한 충격에 의한 뇌출혈이나 붓기, 혈행장애, 두개골 골절 등이 원인이 된다."
질병,변형성척추증이유|변형성척추증원인,등뼈를 형성하고 있는 추체라는 뼈가 화골 변형되어 옆으로 튀어나와 신경을 압박하면서 발생한다.
질병,부신피질기능항진증쿠싱증후군이유|부신피질기능항진증쿠싱증후군원인|쿠싱증후군이유|부신피질기능항진증원인,"대부분은 뇌하수체에 생기는 종양 등이 원인이며, 부신피질자극호르몬이 과다하게 분비되어 일어난다. 부신 자체에 생기는 종양 같은 이상 때문에 발생하는 경우도 있다. 또 염증이나 알레르기 등 다른 질병을 치료하기 위해서 장기간 스테로이드 약을 사용할 때 일어나는 경우도 종종 있다."
질병,부신피질기능저하증애디슨병이유|부신피질기능저하증애디슨병원인|에디슨병이유|애디슨병이유|부신피질기능저하증이유|에디슨병원인|애디슨병원인|부신피질기능저하증원인,부신 자체가 위축되거나 뇌하수체나 약 등이 원인이 되어 부신피질 호르몬이 분비되면서 발생한다.
질병,당뇨병이유|당뇨병원인,유전적인 요소도 있지만 비만이 원인이 되는 경우도 흔하다. 스트레스나 발정기 후기에 분비되는 호르몬 관계로 발생하는 경우도 있다. 나이를 먹은 개에게 많이 발병한다.
질병,갑상선기능저하증이유|갑상선기능저하증원인,갑상선에서 분비되는 호르몬이 줄어들고 피부의 신진대사가 나빠진다. 갑상선이 변성을 일으키는 자기면역성 질환으로 유전적인 요소도 있는 것으로 보인다. 생활환경이나 스트레스 등에서 발생하는 경우도 있는 것 같다.
질병,요붕증이유|요붕증원인,뇌하수체에서 분비되는 항이뇨호르몬에 이상이 있거나 혹은 신장의 기능에 이상이 있기 때문에 소변 유출을 컨트롤할 수 없어 발생한다.
질병,상피소체기능항진증저하증이유|상피소체기능항진증저하증원인|상피소체이유|상피소체원인,"상피소체의 이상, 신장 기능의 저하, 칼슘이나 비타민 D의 결핍 등에 의해 항진증이 발생한다. 또 저하증은 선천적이거나 다른 질병 치료를 위해 받은 수술로 인한 영향 등으로 일어난다."
질병,골절이유|골절원인,"예기치 못한 외적인 힘이 가해져서 일어나는 골절을 외상성 골절, 질병 등으로 뼈가 물러지거나 영양밸런스가 좋지 않아 뼈의 형성이 불완전해서 일어나는 골절은 병적골절이라고 한다."
질병,탈구이유|탈구원인,"고관절 탈구는 사고나 추락 등 큰 충격을 받았을 때 일어나며, 그 밖에도 대형견에게 많은 고관절 형성부전이나 소형견에게 많은 레그 페르테스병 등도 탈구 원인이 된다. 족근관절 탈구는 뒷다리, 수근관절 탈구는 앞다리의 끝부분을 삐거나 밟혔을 때 발생한다. 발가락 골절이나 인대 파열을 동반하는 경우가 많다. 선장관절 탈구는 허리에 사고나 추락 등으로 큰 힘이 가해졌을 때 발생한다. 견관절은 사고에 의해 일어나는 외에 토이푸들이나 페키니즈, 요크셔테리어 등의 소형견이 유전적으로 잘 발생하며 겨드랑이에 손을 넣고 안아서 들어올리기만 했는데 이탈되는 경우도 있다. 악관절 탈구는 드물지만 사고 등에 의해 상악과 하악의 접합부가 어긋나는 경우가 있다. 슬관절 탈구는 무릎 관절 자체보다 무릎이 어긋나는 경우가 많다."
질병,슬개골탈구이유|슬개골탈구원인,"외상인 경우는 견종을 불문하고 일어나지만, 선천적인 형성이상은 토이푸들, 포메라니안, 요크셔테리어, 말티즈 등의 소형견에게서 흔히 볼 수 있다."
질병,구루병골연화증이유|구루병골연화증원인|구루병이유|구루병원인,"칼슘, 인, 비타민 D가 부족하거나 균형이 맞지 않은 것이 원인이 되어 발병한다. 일광욕 부족이나 기생충 때문이라고도 하는데, 대부분은 영양균형이 좋지 않은 데 원인이 있다. 구루병은 뼈의 성장에 장애가 발생하는 것으로, 뼈가 휘게 된다. 골연화증은 성견의 뼈의 칼슘이 소실되어 탈회현상이 일어나는 것이다."
질병,레그페르테스병이유|레그페르테스병원인|페르테스이유|페르테스원인,"유전적 요소가 큰 질환으로, 대퇴골 선단으로 가는 혈류장애가 원인이며, 혈류장애가 발생하는 이유에 대해서는 알려지지 않았다."
질병,전십자인대파열이유|전십자인대파열원인|전십자인대이유|전십자인대원인,사고 등 외부에서 가해진 힘이나 노화에 따라 인대가 쇠약해지거나 비만에 의해 무릎 관절에 부담이 가해지는 것이 원인이다. 소형견에게 많이 나타나는 슬개골 탈구가 진행되어 발생하기도 한다.
질병,관절염이유|관절염원인,"관절에 있는 연골 조직이 손상되어 염증을 일으킨다. 나이를 먹거나 비만 외에 세균감염, 류머티스나 고관절 형성부전 등도 원인이 된다."
질병,류머티스성관절염이유|류머티스성관절염원인,면역반응이상으로 짐작되지만 확실한 원인은 알려지지 않았다.
질병,뼈의종양이유|뼈의종양원인,다른 종양과 마찬가지로 확실한 원인은 밝혀지지 않았다. 유전에 후천적인 요인이 겹쳐져 발병한다.
질병,광견병이유|광견병원인,광견병에 걸린 개에게 물리면 타액 속에 섞여 있는 광견병 바이러스가 체내에 침입한다. 바이러스는 신경에서부터 척추나 뇌에 도달해서 신경증상을 일으킨다. 광견병 바이러스는 개나 인간뿐만 아니라 모든 포유동물에게 감염된다.
질병,홍역디스템퍼이유|홍역디스템퍼원인|홍역이유|홍역원인,개 홍역바이러스에 감염되어 발병한다. 병에 걸린 개와 접촉했거나 재채기 등으로 침이나 콧물을 들이켰거나 소변이나 변을 핥다가 옮기도 한다. 바이러스가 묻은 음식물을 통해 감염되기도 한다.
질병,파보바이러스감염증이유|파보바이러스감염증원인|파보바이러스이유|파보바이러스원인,"원인인 바이러스는 개파보바이러스이다. 감염된 개의 변이나 구토물, 오염된 식기나 의류 등에 개가 입이나 코를 대면서 감염된다. 감염된 개를 만진 사람의 손을 통해 옮는 경우도 있다. 체내에 들어간 바이러스는 장관세포나 골수세포에서 증식한다."
질병,전염성간염이유|전염성간염원인,"개 아데노바이러스 1형이라는 바이러스에 감염되어 발생한다. 병에 걸린 개의 소변, 대변, 타액, 오염된 식기나 의복 등에서 개의 입으로 들어가 발병한다. 바이러스는 편도에서 림프 조직으로 침투하고 그 후 혈액으로 들어가 온몸으로 퍼진다."
질병,켄넬코프이유|켄넬코프원인,"파라인플루엔자바이러스, 아데노바이러스 2형 등의 바이러스나 세균에 감염되어 발병한다. 병든 개와의 접촉이나 재채기나 기침을 통해서 감염된다."
질병,코로나바이러스감염증이유|코로나바이러스감염증원인|코로나바이러스이유|코로나바이러스원인,"병견의 구토물이나 변, 오염된 식기 등에서 개의 입을 통해 감염된다. 전염력이 강하기 때문에 집단 사육하는 견사에서는 단시간에 많은 개가 감염된다."
질병,개헤르페스바이러스감염증이유|개헤르페스바이러스감염증원인|헤르페스이유|헤르페스원인,개 헤르페스바이러스는 어미의 태반에서 감염되거나 출산 시 산도에서 감염되는 것으로 추정되고 있다.
질병,렙토스피라감염증이유|렙토스피라감염증원인|렙토스피라이유|렙토스피라원인,"렙토스피라라는 세균에 감염된 개의 소변을 통해 오염된 땅이나 물, 음식을 입에 대면 감염되는 경우가 많으며 상처를 통해 세균이 침입하는 경우도 있다. 이 세균은 다른 동물에게도 감염되기 때문에 쥐 등을 통해 퍼지는 경우가 많다."
질병,브루셀라증이유|브루셀라증원인,"호흡기, 소화기, 생식기 등의 점막에 브루셀라속의 세균이 감염된다. 주로 교배에 의해 발생하는데 개가 많이 모여 있는 곳에서도 감염되기 쉬운 질병이다."
질병,파상풍이유|파상풍원인,파상풍균은 널리 분포하며 흙 속에 오랫동안 살아 있다. 개가 흙에서 놀 때 입으로 들어가면 증식해서 독소를 발생시키고 신경을 침범하면서 발병한다.
질병,회충증이유|회충증원인,감염된 개가 배설한 변 속의 기생충 알을 핥거나 먹으면 감염된다. 또 암컷이 감염된 경우 기생충은 임신 중인 상태에서 태반을 통해 태아에 감염된다. 태어난 후에도 모유를 통해 감염되기도 한다. 체내에 들어간 알은 소장에서 자충이 된다. 개회충은 혈류 등을 타고 체내로 이행하여 최종적으로는 장에 기생한다. 또 여러 장기에 자충 상태로 머무르는 타입도 있다. 어미를 통해 새끼에게 감염되는 것은 개회충 쪽이다. 개소회충은 체내를 이행하지 않고 장 속에서 성장한다.
질병,구충증이유|구충증원인,변과 함께 배설된 알이 부화하여 자충 상태로 음식물이나 식기에 붙어서 코와 입으로 감염된다. 구충의 자충은 흙 속에서 생식하기 때문에 개의 피부나 모공으로 감염되기도 한다. 또 암컷이 감염되면 태반이나 모유를 통해 새끼에게 감염된다. 자충은 최종적으로 장에 도달해 성충이 된다.
질병,편충증이유|편충증원인,변과 함께 배설된 알이 음식물이나 식기에 붙어서 입으로 들어가 감염된다. 회충이나 구충과 달리 경구감염만 된다. 체내에 들어간 알은 주로 소장 안에서 부화하여 맹장 또는 결장에 기생한다.
질병,조충증이유|조충증원인,항문 주변에 달라붙은 체절은 말라서 부서지면 안의 알이 흩어진다. 벼룩이 알을 먹으면 벼룩의 몸속에서 기생충이 발육한다. 개가 적극적으로 벼룩을 먹지는 않지만 우발적으로 삼켰을 때 감염된다.
질병,콕시듐이유|콕시듐원인,현미경으로밖에 보이지 않는 작은 콕시듐 원충이 경구 감염되어 장세포로 파고들어가 증식하여 점막을 손상시키면서 발생한다.
질병,편모충증이유|편모충증원인,"오염된 변이나 음식물, 물 등을 통해 원충이 입으로 들어와 소장에 기생하여 설사가 일어난다."
질병,아토피성피부염이유|아토피성피부염원인,"꽃가루나 먼지, 벼룩 외에 담배, 고양이 비듬 등 공중에 떠다니는 알레르겐을 흡입하면서 발생한다. 피부에 부착되면서 발생하는 경우도 있다. 알레르기는 해가 있는 것이 몸에 침입했을 때 그것을 제거하기 위해서 공격하는 면역기능이 평소에는 해가 없는 것에 대해서 과도하게 작용함으로써 일어난다."
질병,벼룩알레르기성피부염이유|벼룩알레르기성피부염원인,"벼룩에게 물리거나 피부 표면을 돌아다니는 자극에 의해 일어나는 피부염도 있지만, 이 알레르기는 벼룩의 타액에 대해 몸이 예민하게 반응해서 일어나므로 벼룩의 수와는 상관없이 발병한다."
질병,음식물알레르기이유|음식물알레르기원인,"우유나 육류, 곡물, 과일 등의 예가 많이 보이듯 특정 음식물이 원인이 될 수 있다. 2세 전후의 개에게 많이 발병되는 듯하다."
질병,접촉성피부염이유|접촉성피부염원인,"목걸이나 플라스틱 식기, 샴푸, 세제, 바닥의 왁스류, 카펫, 나일론, 검, 살충제, 소취제 등 다양한 물품이 원인이 된다."
질병,지루증이유|지루증원인,"정상이라면 3주 정도 걸리는 피부의 각질화 사이클이 매우 빨라져 피부가 지루화된다. 또 피부의 윤기에 중요한 피지샘에 이상이 생겨 발생하는 경우도 있다. 호르몬의 이상이나 영양불균형, 피부기생충이나 세균감염, 알레르기 등 원인은 다양하다."
질병,농피증이유|농피증원인,"감염시키는 것은 주로 포도구균이라고 하는 세균이다. 간단한 소독 정도로 낫는 경우도 많지만, 몸의 저항력이 떨어져 있거나 면역력이 저하되어 있어 케어가 되지 않으면 피부를 화농화시킨다."
질병,모낭충증이유|모낭충증원인,보통의 건강상태라면 발병하지 않지만 면역력이나 저항력이 저하되거나 영양상태가 나쁘면 모공의 바리어 기능이 작용하지 못하고 진드기가 폭발적으로 증식하여 발생하는 것으로 보인다.
질병,개선충증이유|개선충증원인,개의 피부에 구멍을 뚫어 침입한 진드기가 그 속에 산란하거나 배설하면서 평생을 보내기 때문이다.
질병,피부사상균증이유|피부사상균증원인,곰팡이의 일종인 피부사상균에 감염되어 발병한다. 약한 표피에서 증식하고 부분적으로 염증을 일으킨다.
질병,마라세티아감염증이유|마라세티아감염증원인,"마라세티아는 통상적으로도 피부나 귀에서 보이는 미생물인데, 알레르기나 염증, 지방분이 많은 식사 등으로 피지가 많아지면 과도하게 증식하게 된다. 특히 고온다습하고 귀지 등이 영양분이 되는 귓속은 번식하기 쉬운 장소이다."
질병,자기면역에의한피부병이유|자기면역에의한피부병원인,"모종의 이유로 면역이 피부 세포를 공격해서 일어난다. 원인으로 자외선, 감염, 알레르기, 유전적 요소 등을 생각할 수 있지만 확실한 것은 알려져 있지 않다."
질병,내분비성피부병이유|내분비성피부병원인,호르몬 분비량의 과잉이나 부족에 의해서 발생한다. 호르몬이 털의 근원에 있는 모포에 영향을 미치기 때문에 탈모가 일어난다.
질병,피부종양이유|피부종양원인,유전적인 요인 외에 자외선 등도 원인이 된다.
질병,안검내반외반이유|안검내반외반원인,"선천적인 이상으로 일어나는 경우가 많은 질환인데, 눈 주변의 상처나 질병의 통증 때문에 눈꺼풀이 경련해서 일어나는 경우나 노령으로 안륜근이 약해져서 일어나는 경우 등도 있다."
질병,속눈썹이상이유|속눈썹이상원인,일시적인 역행성 눈썹 등과 달리 선천적으로 눈썹이 이상한 상태로 나는 질병이다.
질병,유루증이유|유루증원인,"눈물이 많이 분비되거나 눈자위에 있는 누선에서 코로 이어지는 비루관으로 배출되지 못해서 발생하는 것이다. 선천적으로 누점이나 비루관에 이상이 있는 경우나 각막염이나 결막염의 영향, 안륜근의 기능저하 등 원인은 다양하다."
질병,체리아이이유|체리아이원인,"비글이나 코커스파니엘, 페키니즈 등은 선천적으로 발생하기 쉬운 견종으로 알려져 있다. 외상이나 염증 등이 원인으로 발생하는 경우가 있고 개가 눈을 비비다 튀어나오는 경우도 있다."
질병,결막염이유|결막염원인,세균이나 바이러스에 의한 감염이 일반적이며 먼지나 알레르기 등도 원인이 된다. 결막은 다른 점막보다 외부에 접할 기회가 많기 때문에 염증이 일어나기 쉽고 눈을 비비거나 털이 들어가서 발생하기도 한다.
질병,각막염이유|각막염원인,대부분 바이러스나 세균에 감염되거나 눈을 부딪치는 등의 부상 때문에 염증이 발생한다. 눈물의 양이 적은 건조증 등이 원인이 되기도 한다.
